archip;common_name;species;iucn_category_2021;description;story
None;Grey-Headed Albatross;Thalassarche Chrysostoma;EN;Endangered;With a sleek, silvery head and broad wings, this albatross glides effortlessly over the southern oceans. Its mournful wails add a haunting beauty to its maritime home. Overfishing and climate change-induced shifts in prey availability threaten this master of the seas.
None;Green-Throated Euphonia;Euphonia Chalybea;NT;Near Threatened;
None;Green-Winged Trumpeter;Psophia Viridis;VU;Vulnerable;
None;Grenada Dove;Leptotila Wellsi;CR;Critically Endangered;
None;Grey Falcon;Falco Hypoleucos;VU;Vulnerable;
None;Grey Imperial-Pigeon;Ducula Pickeringii;VU;Vulnerable;
None;Grey Parrot;Psittacus Erithacus;EN;Endangered;
None;Grey Petrel;Procellaria Cinerea;NT;Near Threatened;
South America;Grey Tinamou;Tinamus Tao;VU;Vulnerable;
None;Grey-Backed Hawk;Pseudastur Occidentalis;EN;Endangered;
None;Grey-Banded Mannikin;Lonchura Vana;VU;Vulnerable;
None;Grey-Bellied Bulbul;Ixidia Cyaniventris;NT;Near Threatened;
None;Grey-Bellied Comet;Taphrolesbia Griseiventris;EN;Endangered;
None;Grey-Bellied Goshawk;Accipiter Poliogaster;NT;Near Threatened;
None;Grey-Breasted Babbler;Malacopteron Albogulare;NT;Near Threatened;
None;Grey-Breasted Brown-Dove;Phapitreron Maculipectus;NT;Near Threatened;
None;Grey-Breasted Flycatcher;Lathrotriccus Griseipectus;VU;Vulnerable;
None;Grey-Breasted Mountain-Toucan;Andigena Hypoglauca;NT;Near Threatened;
None;Grey-Breasted Parakeet;Pyrrhura Griseipectus;EN;Endangered;
None;Grey-Capped Hemispingus;Kleinothraupis Reyi;NT;Near Threatened;
None;Grey-Capped Tyrannulet;Phyllomyias Griseocapilla;NT;Near Threatened;
None;Grey-Cheeked Bulbul;Alophoixus Tephrogenys;VU;Vulnerable;
None;Grey-Cheeked Parakeet;Brotogeris Pyrrhoptera;VU;Vulnerable;
None;Grey-Chested Jungle-Flycatcher;Cyornis Umbratilis;NT;Near Threatened;
None;Grey-Crested Helmetshrike;Prionops Poliolophus;NT;Near Threatened;
None;Grey-Crowned Crocias;Laniellus Langbianis;EN;Endangered;
None;Grey-Crowned Palm-Tanager;Phaenicophilus Poliocephalus;NT;Near Threatened;
None;Grey-Crowned Prinia;Prinia Cinereocapilla;VU;Vulnerable;
None;Grey-Crowned Tetraka;Xanthomixis Cinereiceps;NT;Near Threatened;
None;Guadalupe Murrelet;Synthliboramphus Hypoleucus;EN;Endangered;A petite seabird, it sports a black-and-white tuxedo-like plumage, darting swiftly across ocean waves. Its soft, high-pitched whistles echo during nocturnal flights. Introduced predators like rats on its island breeding grounds have caused severe declines in its population.
None;Grey-Headed Antbird;Ampelornis Griseiceps;VU;Vulnerable;
None;Grey-Headed Bulbul;Brachypodius Priocephalus;NT;Near Threatened;
None;Grey-Headed Fish-Eagle;Icthyophaga Ichthyaetus;NT;Near Threatened;
None;Grey-Headed Greenbul;Phyllastrephus Poliocephalus;NT;Near Threatened;
None;Grey-Headed Parakeet;Himalayapsitta Finschii;NT;Near Threatened;
None;Grey-Headed Quail-Dove;Geotrygon Caniceps;VU;Vulnerable;
None;Grey-Headed Warbler;Basileuterus Griseiceps;EN;Endangered;
None;Grey-Hooded Capuchin Babbler;Phyllanthus Atripennis;VU;Vulnerable;
None;Grey-Hooded Parrotbill;Suthora Zappeyi;VU;Vulnerable;
None;Grey-Necked Rockfowl;Picathartes Oreas;NT;Near Threatened;
None;Madagascar Pochard;Aythya Innotata;CR;Critically Endangered;A strikingly chocolate-brown duck with piercing white eyes, it thrived in Madagascar's freshwater lakes. Pollution, invasive fish, and habitat loss have driven it to the edge of extinction, with only a handful surviving in remote lakes.
None;Grey-Sided Thrush;Turdus Feae;VU;Vulnerable;
None;Grey-Tailed Tattler;Tringa Brevipes;NT;Near Threatened;
None;Grey-Throated Leaftosser;Sclerurus Albigularis;NT;Near Threatened;
Indonesia;Maleo;Macrocephalon Maleo;CR;Critically Endangered;An enigmatic bird from Sulawesi, known for burying its eggs in volcanic sand to incubate, it has glossy black plumage with a striking yellow face. Its distinctive behavior and appearance made it a local icon, but habitat destruction and relentless egg poaching have driven it toward extinction.
None;Grey-Throated Warbler;Myiothlypis Cinereicollis;NT;Near Threatened;
None;Grey-Winged Cotinga;Lipaugus Conditus;VU;Vulnerable;
None;Ground Woodpecker;Geocolaptes Olivaceus;NT;Near Threatened;
None;Guadalcanal Boobook;Ninox Granti;NT;Near Threatened;
None;Guadalcanal Moustached Kingfisher;Actenoides Excelsus;EN;Endangered;
None;Hainan Magpie;Urocissa Whiteheadi;EN;Endangered;This bird's striking black-and-white plumage and intelligent gaze make it a treasure of China's forests. Its chattering calls and clever antics have earned it a special place in local folklore. Habitat destruction from rapid development is endangering this unique species.
None;Guadalcanal Rail;Hypotaenidia Woodfordi;NT;Near Threatened;
None;Guadalcanal Thicketbird;Megalurulus Turipavae;NT;Near Threatened;
None;Guadalcanal Thrush;Zoothera Turipavae;VU;Vulnerable;
None;Guadalupe Junco;Junco Insularis;EN;Endangered;
None;Guaiquinima Whitestart;Myioborus Cardonai;NT;Near Threatened;
None;Guam Rail;Hypotaenidia Owstoni;CR;Critically Endangered;
None;Guanacaste Hummingbird;Amazilia Alfaroana;CR;Critically Endangered;
None;Guanay Cormorant;Leucocarbo Bougainvilliorum;NT;Near Threatened;
None;Hawaiian Petrel;Pterodroma Sandwichensis;EN;Endangered;A graceful seabird with dark wings and a haunting, moaning call, it is a nocturnal visitor to Hawaii's volcanic slopes. It navigates the open ocean with uncanny precision, returning annually to its burrow. Light pollution and predation from introduced mammals threaten this ancient mariner.
None;Guayaquil Woodpecker;Campephilus Gayaquilensis;NT;Near Threatened;
None;Guianan Solitaire;Cichlopsis Gularis;NT;Near Threatened;
None;Guianan Streaked Antwren;Myrmotherula Surinamensis;VU;Vulnerable;
None;Helmet Vanga;Euryceros Prevostii;EN;Endangered;With its electric blue bill and black-and-white plumage, this bird is a striking sight in Madagascar's rainforests. Its loud calls resonate through the dense canopy. Habitat destruction and limited range make it highly vulnerable.
None;Gundlach'S Hawk;Accipiter Gundlachi;EN;Endangered;
None;Gunnison Grouse;Centrocercus Minimus;EN;Endangered;
None;Gurney'S Eagle;Aquila Gurneyi;NT;Near Threatened;
None;Helmeted Curassow;Pauxi Pauxi;EN;Endangered;This large bird, with its blue-black plumage and peculiar casque, is a striking presence in Venezuela's cloud forests. It feeds on fruit and plays a vital role in seed dispersal. Hunting and deforestation have led to sharp declines in its population.
None;Gurney'S Pitta;Hydrornis Gurneyi;CR;Critically Endangered;
None;Gurney'S Sugarbird;Promerops Gurneyi;NT;Near Threatened;
None;Hainan Laughingthrush;Pterorhinus Monachus;NT;Near Threatened;
None;Hainan Leaf-Warbler;Phylloscopus Hainanus;VU;Vulnerable;
None;Hainan Partridge;Arborophila Ardens;VU;Vulnerable;
None;Hainan Peacock-Pheasant;Polyplectron Katsumatae;EN;Endangered;
None;Harpy Eagle;Harpia Harpyja;VU;Vulnerable;
None;Harris'S Sparrow;Zonotrichia Querula;NT;Near Threatened;
None;Harwood'S Francolin;Pternistis Harwoodi;NT;Near Threatened;
None;Hawaii Akepa;Loxops Coccineus;EN;Endangered;
None;Hawaii Creeper;Manucerthia Mana;EN;Endangered;
None;Hawaii Elepaio;Chasiempis Sandwichensis;VU;Vulnerable;
None;Horned Guan;Oreophasis Derbianus;EN;Endangered;This mythical bird of Central America, with its red horn and black-and-white plumage, seems like a creature from folklore. It feeds on fruit in high-altitude cloud forests, playing a vital role in seed dispersal. Logging and hunting have reduced its numbers significantly.
None;Hawaiian Coot;Fulica Alai;VU;Vulnerable;
None;Hawaiian Duck;Anas Wyvilliana;EN;Endangered;
None;Hawaiian Goose;Branta Sandvicensis;NT;Near Threatened;
None;Marquesas Kingfisher;Todiramphus Godeffroyi;CR;Critically Endangered;Adorned with stunning blue and orange hues, it inhabited the remote Marquesas Islands, where its call once resonated through valleys. Deforestation and invasive species have decimated its population.
None;Hawaiian Hawk;Buteo Solitarius;NT;Near Threatened;
None;Heermann'S Gull;Larus Heermanni;NT;Near Threatened;
None;Heinroth'S Shearwater;Puffinus Heinrothi;VU;Vulnerable;
None;Helmeted Hornbill;Rhinoplax Vigil;CR;Critically Endangered;
None;Helmeted Myna;Basilornis Galeatus;NT;Near Threatened;
None;Helmeted Woodpecker;Celeus Galeatus;VU;Vulnerable;
None;Henderson Crake;Zapornia Atra;VU;Vulnerable;
None;Henderson Fruit-Dove;Ptilinopus Insularis;VU;Vulnerable;
None;Henderson Lorikeet;Vini Stepheni;VU;Vulnerable;
None;Henderson Petrel;Pterodroma Atrata;EN;Endangered;
None;Henderson Reed-Warbler;Acrocephalus Taiti;VU;Vulnerable;
None;Henna-Hooded Foliage-Gleaner;Clibanornis Erythrocephalus;NT;Near Threatened;
None;Henna-Tailed Jungle-Flycatcher;Cyornis Colonus;NT;Near Threatened;
None;Henst'S Goshawk;Accipiter Henstii;VU;Vulnerable;
None;Hermit Wood-Wren;Henicorhina Anachoreta;NT;Near Threatened;
South America;Highland Guan;Penelopina Nigra;VU;Vulnerable;
None;Himalayan Griffon;Gyps Himalayensis;NT;Near Threatened;
None;Hinde'S Babbler;Turdoides Hindei;VU;Vulnerable;
None;Hispaniolan Amazon;Amazona Ventralis;VU;Vulnerable;
None;Hispaniolan Crossbill;Loxia Megaplaga;EN;Endangered;
None;Hispaniolan Parakeet;Psittacara Chloropterus;VU;Vulnerable;
None;Hoary Puffleg;Haplophaedia Lugens;NT;Near Threatened;
None;Hoary-Throated Spinetail;Synallaxis Kollari;CR;Critically Endangered;
None;Hoffmanns'S Woodcreeper;Dendrocolaptes Hoffmannsi;VU;Vulnerable;
None;Honduran Emerald;Amazilia Luciae;VU;Vulnerable;
None;Hooded Antpitta;Grallaricula Cucullata;VU;Vulnerable;
None;Hooded Berryeater;Carpornis Cucullata;NT;Near Threatened;
None;Hooded Crane;Grus Monacha;VU;Vulnerable;
None;Hooded Grebe;Podiceps Gallardoi;CR;Critically Endangered;
None;Hooded Plover;Thinornis Cucullatus;VU;Vulnerable;
None;Hooded Treepie;Crypsirina Cucullata;NT;Near Threatened;
None;Hooded Visorbearer;Augastes Lumachella;NT;Near Threatened;
None;Hooded Vulture;Necrosyrtes Monachus;CR;Critically Endangered;
None;Hook-Billed Bulbul;Setornis Criniger;VU;Vulnerable;
None;Hook-Billed Hermit;Glaucis Dohrnii;VU;Vulnerable;
None;Horned Coot;Fulica Cornuta;NT;Near Threatened;
None;Horned Grebe;Podiceps Auritus;VU;Vulnerable;
None;Horned Parakeet;Eunymphicus Cornutus;VU;Vulnerable;
None;Hose'S Broadbill;Calyptomena Hosii;NT;Near Threatened;
None;Hudson'S Canastero;Asthenes Hudsoni;NT;Near Threatened;
None;Humblot'S Flycatcher;Humblotia Flavirostris;EN;Endangered;
None;Humboldt Penguin;Spheniscus Humboldti;VU;Vulnerable;
None;Hutton'S Shearwater;Puffinus Huttoni;EN;Endangered;
None;Hyacinth Macaw;Anodorhynchus Hyacinthinus;VU;Vulnerable;
None;Indian Skimmer;Rynchops Albicollis;EN;Endangered;This striking bird, with its bold black and white body and vibrant orange bill, is a spectacle as it skims over rivers for fish. Its sharp, metallic calls pierce the stillness of its wetland habitat. Pollution and water extraction for agriculture have caused dramatic declines in its numbers.
None;Ibadan Malimbe;Malimbus Ibadanensis;EN;Endangered;
None;Ibera Seedeater;Sporophila Iberaensis;EN;Endangered;
None;Iberian Grey Shrike;Lanius Meridionalis;VU;Vulnerable;
None;Iiwi;Drepanis Coccinea;VU;Vulnerable;
None;Ijima'S Leaf-Warbler;Phylloscopus Ijimae;VU;Vulnerable;
None;Imitator Goshawk;Accipiter Imitator;VU;Vulnerable;
None;Imperial Amazon;Amazona Imperialis;CR;Critically Endangered;
None;Imperial Snipe;Gallinago Imperialis;NT;Near Threatened;
None;Inaccessible Finch;Nesospiza Acunhae;VU;Vulnerable;
None;Inaccessible Rail;Laterallus Rogersi;VU;Vulnerable;
None;Inca Flycatcher;Leptopogon Taczanowskii;NT;Near Threatened;
None;Inca Tern;Larosterna Inca;NT;Near Threatened;
None;Indian Grass-Babbler;Graminicola Bengalensis;NT;Near Threatened;
None;Indian Spotted Eagle;Clanga Hastata;VU;Vulnerable;
None;Indian Vulture;Gyps Indicus;CR;Critically Endangered;
None;Indian Yellow-Nosed Albatross;Thalassarche Carteri;EN;Endangered;
None;Indigo-Winged Parrot;Hapalopsittaca Fuertesi;EN;Endangered;
None;Indochinese Wren-Babbler;Napothera Danjoui;NT;Near Threatened;
None;Iphis Monarch;Pomarea Iphis;CR;Critically Endangered;
None;Iringa Akalat;Sheppardia Lowei;VU;Vulnerable;
None;Iris Lorikeet;Trichoglossus Iris;NT;Near Threatened;
None;Isabela Oriole;Oriolus Isabellae;CR;Critically Endangered;
None;Italian Sparrow;Passer Italiae;VU;Vulnerable;
None;Ivory Gull;Pagophila Eburnea;NT;Near Threatened;
None;Izu Robin;Larvivora Tanensis;VU;Vulnerable;
None;Izu Thrush;Turdus Celaenops;VU;Vulnerable;
None;Izu Tit;Sittiparus Owstoni;EN;Endangered;
None;Jackson'S Widowbird;Euplectes Jacksoni;NT;Near Threatened;
None;Jamaican Blackbird;Nesopsar Nigerrimus;EN;Endangered;
None;Jamaican Crow;Corvus Jamaicensis;NT;Near Threatened;
None;Jamaican Parakeet;Eupsittula Nana;NT;Near Threatened;
None;Jambu Fruit-Dove;Ramphiculus Jambu;NT;Near Threatened;
None;Jankowski'S Bunting;Emberiza Jankowskii;EN;Endangered;
None;Japanese Murrelet;Synthliboramphus Wumizusume;VU;Vulnerable;
None;Japanese Night-Heron;Gorsachius Goisagi;VU;Vulnerable;
None;Japanese Paradise-Flycatcher;Terpsiphone Atrocaudata;NT;Near Threatened;
None;Japanese Quail;Coturnix Japonica;NT;Near Threatened;
None;Japanese Waxwing;Bombycilla Japonica;NT;Near Threatened;
None;Japanese Woodpigeon;Columba Janthina;NT;Near Threatened;
None;Java Sparrow;Lonchura Oryzivora;EN;Endangered;
None;Javan Blue-Banded Kingfisher;Alcedo Euryzona;CR;Critically Endangered;
None;Javan Broadbill;Eurylaimus Javanicus;NT;Near Threatened;
None;Javan Cochoa;Cochoa Azurea;VU;Vulnerable;
None;Javan Coucal;Centropus Nigrorufus;VU;Vulnerable;
None;Javan Flameback;Chrysocolaptes Strictus;VU;Vulnerable;
None;Javan Leafbird;Chloropsis Cochinchinensis;EN;Endangered;
None;Javan Myna;Acridotheres Javanicus;VU;Vulnerable;
None;Javan Pied Starling;Gracupica Jalla;CR;Critically Endangered;
None;Guam Kingfisher;Todiramphus Cinnamominus;EW;Extinct in the Wild;This vividly colored bird with a sharp call was a jewel of the forests of Guam. Sadly, the introduction of invasive brown tree snakes decimated its population, leaving it extinct in the wild. Captive breeding programs keep the spirit of the Guam Kingfisher alive, with hopes of eventual reintroduction.
None;Javan Scops-Owl;Otus Angelinae;VU;Vulnerable;
None;Javan Trogon;Apalharpactes Reinwardtii;VU;Vulnerable;
None;Javan White-Eye;Zosterops Flavus;EN;Endangered;
None;Javan Woodcock;Scolopax Saturata;NT;Near Threatened;
None;Javan Yellownape;Chrysophlegma Mentale;NT;Near Threatened;
None;Jerdon'S Babbler;Chrysomma Altirostre;VU;Vulnerable;
None;Jerdon'S Courser;Rhinoptilus Bitorquatus;CR;Critically Endangered;
None;Jerdon'S Minivet;Pericrocotus Albifrons;NT;Near Threatened;
None;Jonquil Parrot;Aprosmictus Jonquillaceus;NT;Near Threatened;
None;Jouanin'S Petrel;Bulweria Fallax;NT;Near Threatened;
None;Juan Fernandez Petrel;Pterodroma Externa;VU;Vulnerable;
None;Juan Fernandez Tit-Tyrant;Anairetes Fernandezianus;NT;Near Threatened;
None;Junin Rail;Laterallus Tuerosi;EN;Endangered;
None;Junin Tapaculo;Scytalopus Gettyae;NT;Near Threatened;
None;Kabobo Apalis;Apalis Kaboboensis;VU;Vulnerable;
None;Kadavu Fantail;Rhipidura Personata;NT;Near Threatened;
None;Kaempfer'S Tody-Tyrant;Hemitriccus Kaempferi;VU;Vulnerable;
None;Kaempfer'S Woodpecker;Celeus Obrieni;VU;Vulnerable;
None;Javan Hawk-Eagle;Nisaetus Bartelsi;EN;Endangered;With bold brown-and-white plumage and a piercing yellow gaze, this eagle is a symbol of Indonesia's forests. Its powerful screeches announce its dominance over its forested hunting grounds. Logging and illegal wildlife trade have placed this majestic raptor on the brink of extinction.
None;Kangean Tit-Babbler;Mixornis Prillwitzi;VU;Vulnerable;
None;Karamoja Apalis;Apalis Karamojae;VU;Vulnerable;
None;Kashmir Flycatcher;Ficedula Subrubra;VU;Vulnerable;
None;Kauai Amakihi;Chlorodrepanis Stejnegeri;VU;Vulnerable;
None;Kauai Elepaio;Chasiempis Sclateri;VU;Vulnerable;
None;Keel-Billed Motmot;Electron Carinatum;VU;Vulnerable;
None;Keel-Billed Toucan;Ramphastos Sulfuratus;NT;Near Threatened;
None;Kerguelen Tern;Sterna Virgata;NT;Near Threatened;
None;Kilombero Weaver;Ploceus Burnieri;VU;Vulnerable;
None;Kinabalu Serpent-Eagle;Spilornis Kinabaluensis;VU;Vulnerable;
None;King Rail;Rallus Elegans;NT;Near Threatened;
None;Kinglet Calyptura;Calyptura Cristata;CR;Critically Endangered;
None;Kirtland'S Warbler;Setophaga Kirtlandii;NT;Near Threatened;
None;Kittlitz'S Murrelet;Brachyramphus Brevirostris;NT;Near Threatened;
None;Jocotoco Antpitta;Grallaria Ridgelyi;EN;Endangered;This round, robin-like bird with a rich brown and gray plumage is an icon of Ecuador's cloud forests. It hops along the forest floor, emitting low-pitched calls. Rediscovered in 1997, it symbolizes the importance of preserving unique habitats.
None;Klages'S Antwren;Myrmotherula Klagesi;VU;Vulnerable;
None;Knobbed Hornbill;Rhyticeros Cassidix;VU;Vulnerable;
None;Knysna Warbler;Bradypterus Sylvaticus;VU;Vulnerable;
None;Knysna Woodpecker;Campethera Notata;NT;Near Threatened;
None;Koepcke'S Hermit;Phaethornis Koepckeae;NT;Near Threatened;
None;Kofiau Monarch;Symposiachrus Julianae;VU;Vulnerable;
None;Junin Grebe;Podiceps Taczanowskii;EN;Endangered;This flightless grebe from Peru glides across the shimmering waters of Lake Junin. Its black and white plumage contrasts beautifully with its crimson eyes. Polluted waters and habitat loss have driven it to the edge of extinction.
None;Kofiau Paradise-Kingfisher;Tanysiptera Ellioti;VU;Vulnerable;
None;Kolombangara Leaf-Warbler;Phylloscopus Amoenus;VU;Vulnerable;
None;Kolombangara Monarch;Symposiachrus Browni;NT;Near Threatened;
None;Kori Bustard;Ardeotis Kori;NT;Near Threatened;
